marca,desc,cantidad,0,imagen-src
"Unplug","Pack Cerveza Lager","6 Latas 330 ml c/u","$			2.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/843665a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Imperial","Pack Cerveza Lager Especial","4 Botellas 330 cc c/u","$			4.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304061a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Stella Artois","Pack Cerveza Premium Lager","12 Latas 330 cc c/u","$			7.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/260878a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Budweiser","Pack Cerveza Lager","6 Botellas 350 cc c/u","$			5.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304209a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Sol","Pack Cerveza Tradicional","6 Botellas 330 ml c/u","$			5.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/534425a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Royal Guard","Pack Cerveza Lager","6 Botellas 355 cc c/u","$			4.790","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304399a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Budweiser","Cerveza Botella","946 cc","$			2.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804230a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Sol","Pack Cervezas","12 Botellas 330 cc c/u","$			8.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/765223a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Cusqueña","Pack Cervezas Premium Original","6 Latas 355 cc c/u","$			3.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/626768a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Stella Artois","Pack Cerveza Premium Lager","6 Latas 330 cc c/u","$			4.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/299185a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Stella Artois","Pack Cerveza Premium Lager","6 Botellas 330 cc c/u","$			4.890","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/307501a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
