marca,desc,cantidad,0,imagen-src
"Dolbek","Cerveza Artesanal Lager Botella","330 cc","$			1.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769862a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Grassau","Cerveza Rubia Premium Botella","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/752234a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Cerveza Lager Original Anwandter Rezept","Botella 500 cc","$			2.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/321987a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Mestra","Pack Cerveza Amber Ale","4 Botellas 330 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/285829a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Austral","Pack Cerveza Dark Ale","4 Botellas 330 cc c/u","$			5.090","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304317a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Szot","Cerveza Rubia al Vapor","330 ml","$			1.290","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/292797a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Del Puerto","Cerveza Strong Ale Botella","500 cc","$			1.990","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/833865a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Mestra","Pack Cerveza Lager Premium","4 Botellas 330 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/772453a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Quimera","Cerveza Imperial Stout Botella","330 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/760136a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Pack Cerveza Ale Torobayo","6 Botellas 330 cc c/u","$			6.390","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/614954a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Grassau","Cerveza Premium Bock","330 cc","$			1.250","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/500793a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Volcanes del Sur","Cerveza Dopple Bock B","Lata 350 cc","$			1.190","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/479023a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kunstmann","Cerveza Lager sin Filtrar","330 cc","$			1.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276346a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
"Kross","Pack Cerveza Golden Pale Ale","4 Botellas 330 cc c/u","$			4.690","https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274744a.jpg]&call=url[file:catalog/sizing.chain]&sink=format[jpg]"
